canonical,meaning,summary,source_volume,source_headword
〜に向けて・に向けた,"A compound particle that indicates the destination/direction of movement, the target/direction of an action, or the goal/purpose of an action.","A compound particle that indicates the destination/direction of movement, the target/direction of an action, or the goal/purpose of an action.",Advanced,に向けて・に向けた
〜に応じて・応じた,A compound particle that means “in response to”.,A compound particle that means “in response to”.,Advanced,に応じて・応じた
〜に決まっている,A phrase indicating the speaker’s/writer’s strong conviction or motivation.,A phrase indicating the speaker’s/writer’s strong conviction or motivation.,Advanced,に決まっている
〜に越したことはない,A phrase used to indicate that a state or action is more desirable.,A phrase used to indicate that a state or action is more desirable.,Advanced,に越したことはない
〜のなんのって,A phrase to emphasize that something/someone is/was in an extreme state or that someone does/did something to a great extent,A phrase to emphasize that something/someone is/was in an extreme state or that someone does/did something to a great extent,Advanced,のなんのって
〜のみならず,A phrase that is used in formal writing to mean “not only”.,A phrase that is used in formal writing to mean “not only”.,Advanced,のみならず
〜の無さ,A phrase that indicates a state where something is lacking.,A phrase that indicates a state where something is lacking.,Advanced,の無さ・のなさ
〜はあれ,A phrase expressing the idea “even though there is something”,A phrase expressing the idea “even though there is something”,Advanced,はあれ
〜はいいとしても,"A phrase that conveys the meaning “even if I/we accept something, something else is not acceptable”.","A phrase that conveys the meaning “even if I/we accept something, something else is not acceptable”.",Advanced,はいいとしても
〜はおろか,"A phrase that is used when something is not only true with one thing or person, but also with another thing or person that is less expected or understandable.","A phrase that is used when something is not only true with one thing or person, but also with another thing or person that is less expected or understandable.",Advanced,はおろか
ばかりに,A conjunction indicating that a single factor causes a negative situation.,A conjunction indicating that a single factor causes a negative situation.,Advanced,ばかりに
ばこそ,A conjunction that emphasizes a reason,A conjunction that emphasizes a reason,Advanced,ばこそ
はたして,"An adverb indicating that something occurred as the writer expected, or expressing in a concession clause the writer’s strong doubt.","An adverb indicating that something occurred as the writer expected, or expressing in a concession clause the writer’s strong doubt.",Advanced,はたして
〜は別として,A phrase used to present an exception or an issue the speaker/writer does not intend to cover as part of a larger statement.,A phrase used to present an exception or an issue the speaker/writer does not intend to cover as part of a larger statement.,Advanced,は別として
ひいては,An adverb indicating that something is perceived to eventually lead to a signiﬁcant result.,An adverb indicating that something is perceived to eventually lead to a signiﬁcant result.,Advanced,ひいては
ひとつ,"An adverb used when the speaker intends to do something, or asks someone a favour, or makes a suggestion or gives advice to someone.","An adverb used when the speaker intends to do something, or asks someone a favour, or makes a suggestion or gives advice to someone.",Advanced,ひとつ
〜べからず・べからざる,An auxiliary verb that indicates a strong prohibition.,An auxiliary verb that indicates a strong prohibition.,Advanced,べからず・べからざる
べく,"The verb modification form of the auxiliary bekida, which is used to indicate a purpose or aim.","The verb modification form of the auxiliary bekida, which is used to indicate a purpose or aim.",Advanced,べく
〜べくして,A phrase used when something occurs/occured exactly as expected,A phrase used when something occurs/occured exactly as expected,Advanced,べくして
〜べくもない,A phrase meaning “it is impossible to do something”,A phrase meaning “it is impossible to do something”,Advanced,べくもない
まして（や）,"An adverb expressing the idea that because one statement is true, the subsequent statement is naturally true.","An adverb expressing the idea that because one statement is true, the subsequent statement is naturally true.",Advanced,まして（や）
また,An adverb/conjunction that indicates repetition or addition.,An adverb/conjunction that indicates repetition or addition.,Advanced,また
〜まで（のこと）だ,"A phrase indicating someone’s decision to cope with a negative situation, or a simple, straight forward reason for his/her action.","A phrase indicating someone’s decision to cope with a negative situation, or a simple, straight forward reason for his/her action.",Advanced,まで（のこと）だ
むしろ,"An adverb that indicates one of two things/people/characteristics has been chosen rather than the other to express speaker’s/writer’s desire, preference or judgment.","An adverb that indicates one of two things/people/characteristics has been chosen rather than the other to express speaker’s/writer’s desire, preference or judgment.",Advanced,むしろ
〜もさることながら,A phrase used to mention something important and then introduce something more signiﬁcant.,A phrase used to mention something important and then introduce something more signiﬁcant.,Advanced,もさることながら
もしくは,A conjunction to disjunctively connect two items or ideas.,A conjunction to disjunctively connect two items or ideas.,Advanced,もしくは
もっとも,A conjunction used to add a comment indicating that what the speaker/writer has just expressed is not sufﬁcient.,A conjunction used to add a comment indicating that what the speaker/writer has just expressed is not sufﬁcient.,Advanced,もっとも
〜ものか（反語）,A rhetorical question marker that expresses a strong negative intention or disagreement.,A rhetorical question marker that expresses a strong negative intention or disagreement.,Advanced,ものか (1)
〜ものか（選択・自問）,A phrase indicating that the speaker wants to do something or is wondering what one he/she should choose.,A phrase indicating that the speaker wants to do something or is wondering what one he/she should choose.,Advanced,ものか (2)
ものではない,"A sentence-ﬁnal phrase indicating that one shouldn’t do something, one could not possibly do something, or one naturally cannot do something.","A sentence-ﬁnal phrase indicating that one shouldn’t do something, one could not possibly do something, or one naturally cannot do something.",Advanced,ものではない
ものなら,A conjunction indicating that the preceding clause presents a hypothetical situation that is unlikely to become a reality.,A conjunction indicating that the preceding clause presents a hypothetical situation that is unlikely to become a reality.,Advanced,ものなら
ものの,A conjunction that means “although”.,A conjunction that means “although”.,Advanced,ものの
ものを,A disjunctive coordinate conjunction expressing the meaning of “although” with the speaker’s strong feeling of discontent,A disjunctive coordinate conjunction expressing the meaning of “although” with the speaker’s strong feeling of discontent,Advanced,ものを
やら,A sentence-ﬁnal particle that marks a self-addressed question.,A sentence-ﬁnal particle that marks a self-addressed question.,Advanced,やら
や否や,A conjunction that expresses the idea that something happened or someone did something immediately following another event or action.,A conjunction that expresses the idea that something happened or someone did something immediately following another event or action.,Advanced,や否や・やいなや
ようでは,"A conjunction that presents an undesirable situation, which is assumed to be factual.","A conjunction that presents an undesirable situation, which is assumed to be factual.",Advanced,ようでは
〜ようと・が,A conjunctive phrase that expresses the idea of concession.,A conjunctive phrase that expresses the idea of concession.,Advanced,ようと・が
〜ようにも（〜ない）,"A conjunctive phrase that indicates concession: “even though someone tries to do something, he/she cannot do it for some reason”.","A conjunctive phrase that indicates concession: “even though someone tries to do something, he/she cannot do it for some reason”.",Advanced,ようにも（～ない）
〜ようものなら,A conjunctive phrase that presents an undesirable hypothetical situation.,A conjunctive phrase that presents an undesirable hypothetical situation.,Advanced,ようものなら
〜より・のほか（に）（は）〜ない,"A phrase that conveys the idea that there is no other choice than to do something, or that something is true of only one of a select few things.","A phrase that conveys the idea that there is no other choice than to do something, or that something is true of only one of a select few things.",Advanced,より・のほか（に）（は）～ない
〜をおいてほかに（は）〜ない,A phrase that means “there is nothing else besides X”.,A phrase that means “there is nothing else besides X”.,Advanced,をおいてほかに（は）～ない
〜をめぐって・めぐる,"A compound particle meaning “concerning; over”, which is used with an issue over which different opinions, ideas, etc., are expressed or exchanged.","A compound particle meaning “concerning; over”, which is used with an issue over which different opinions, ideas, etc., are expressed or exchanged.",Advanced,をめぐって・めぐる
〜をものともせず,A phrase indicating that someone does something bravely/fearlessly in spite of unfavourable circumstances.,A phrase indicating that someone does something bravely/fearlessly in spite of unfavourable circumstances.,Advanced,をものともせず
〜をよそに,"A compound particle that expresses someone’s indifference to warnings, criticism, advice, accusations, opposition, anxiety, wishes, eagerness, provocative actions, etc.","A compound particle that expresses someone’s indifference to warnings, criticism, advice, accusations, opposition, anxiety, wishes, eagerness, provocative actions, etc.",Advanced,をよそに
〜を中心に,A phrase that means “with something/someone at the centre”.,A phrase that means “with something/someone at the centre”.,Advanced,を中心に
〜を介して/介した,A compound particle that introduces a medium through which someone does something or something happens to someone or something.,A compound particle that introduces a medium through which someone does something or something happens to someone or something.,Advanced,を介して/介した
〜を問わず,A compound particle that means “without questioning”.,A compound particle that means “without questioning”.,Advanced,を問わず
〜を禁じ得ない,A phrase that is used when one cannot control emotions or reactions caused by emotions.,A phrase that is used when one cannot control emotions or reactions caused by emotions.,Advanced,を禁じ得ない
〜んとする,A phrase meaning for “someone to try to do something” or for “something to be about to occur”.,A phrase meaning for “someone to try to do something” or for “something to be about to occur”.,Advanced,んとする
んばかり（に）,An adverbial phrase that is used when a situation looks as if someone were about to do something or as if something were about to occur literally or ﬁguratively.,An adverbial phrase that is used when a situation looks as if someone were about to do something or as if something were about to occur literally or ﬁguratively.,Advanced,んばかり（に）
〜一[Counter]として〜ない,"A structure that means “not a single one"".","A structure that means “not a single one"".",Advanced,一[Counter]として～ない
一つには,"An adverb meaning “partly” in a context where someone gives one or two objectives, benefits, examples or reasons for something.","An adverb meaning “partly” in a context where someone gives one or two objectives, benefits, examples or reasons for something.",Advanced,一つには
〜一切〜ない,A structure that means “not at all”.,A structure that means “not at all”.,Advanced,一切～ない
一応,An adverb indicating that an action or state is only temporary or tentative or is superﬁcially conceived.,An adverb indicating that an action or state is only temporary or tentative or is superﬁcially conceived.,Advanced,一応
〜一方（だ）,A phrase indicating that “something happens continuously” or “someone does something repeatedly”.,A phrase indicating that “something happens continuously” or “someone does something repeatedly”.,Advanced,一方（だ）
一方（で）,A conjunction used to present two concurrent actions/events/states or contrastive situations.,A conjunction used to present two concurrent actions/events/states or contrastive situations.,Advanced,一方（で）
一旦,An adverb meaning “once” or “for a short time”.,An adverb meaning “once” or “for a short time”.,Advanced,一旦・いったん
且つ,"A conjunction meaning “and” that connects words, phrases and sentences.","A conjunction meaning “and” that connects words, phrases and sentences.",Advanced,且つ・かつ
並びに,A conjunction used to combine two nouns or noun phrases.,A conjunction used to combine two nouns or noun phrases.,Advanced,並びに
並み,A noun sufﬁx that adds the meaning “to match”.,A noun sufﬁx that adds the meaning “to match”.,Advanced,並み
〜中を,A phrase that specifies space or time in/through which someone/something does something.,A phrase that specifies space or time in/through which someone/something does something.,Advanced,中を
今更,An adverb indicating that someone feels that it is too late to do something.,An adverb indicating that someone feels that it is too late to do something.,Advanced,今更・いまさら
以来,An adverb meaning “since”,An adverb meaning “since”,Advanced,以来
仮に,An adverb that indicates the speaker’s/writer’s tentative supposition.,An adverb that indicates the speaker’s/writer’s tentative supposition.,Advanced,仮に
但し,"A conjunction indicating that there is a condition, restriction, proviso, etc., to the preceding statement.","A conjunction indicating that there is a condition, restriction, proviso, etc., to the preceding statement.",Advanced,但し・ただし
〜何[(Number)+Counter]も,"A phrase that indicates there is a large number of things, people, etc.","A phrase that indicates there is a large number of things, people, etc.",Advanced,何[(Number)+Counter]も
〜何〜ない,A structure indicating that something doesn't exist at all.,A structure indicating that something doesn't exist at all.,Advanced,何～ない
何とか,"An adverb expressing that someone somehow does something, or something somehow occurs.","An adverb expressing that someone somehow does something, or something somehow occurs.",Advanced,何とか
〜何も〜ない,A structure indicating that an action is taken for no good reason.,A structure indicating that an action is taken for no good reason.,Advanced,何も～ない
〜何ら〜ない,A structure that is used to express a strong negative statement.,A structure that is used to express a strong negative statement.,Advanced,何ら～ない
〜何らかの,A phrase used to indicate that the exact nature of something represented by the noun cannot be speciﬁed.,A phrase used to indicate that the exact nature of something represented by the noun cannot be speciﬁed.,Advanced,何らかの
〜割に（は）,A phrase that expresses the idea that something is not in proportion to what one would normally expect.,A phrase that expresses the idea that something is not in proportion to what one would normally expect.,Advanced,割に（は）
加えて,A conjunction that means “in addition to what has just been mentioned”.,A conjunction that means “in addition to what has just been mentioned”.,Advanced,加えて
単に,An adverb that means “simply”,An adverb that means “simply”,Advanced,単に
〜単位で,"A phrase that indicates the smallest amount, number or unit of something (or people) involved.","A phrase that indicates the smallest amount, number or unit of something (or people) involved.",Advanced,単位で
〜及び,A particle that connects two nouns or noun phrases.,A particle that connects two nouns or noun phrases.,Advanced,及び
反面,A conjunction used to contrast the positive and negative sides of something/someone.,A conjunction used to contrast the positive and negative sides of something/someone.,Advanced,反面
同士,A sufﬁx that adds the meaning of “the same things/people”.,A sufﬁx that adds the meaning of “the same things/people”.,Advanced,同士
〜向け,A suffix that adds the meaning of “aimed at”,A suffix that adds the meaning of “aimed at”,Advanced,向け
如何（だ）・いかん（だ）,A classic form of the adverb どのように “in what way”.,A classic form of the adverb どのように “in what way”.,Advanced,如何（だ）・いかん（だ）
〜思うに,A phrase indicating that the subsequent statement is the speaker’s/writer’s personal view.,A phrase indicating that the subsequent statement is the speaker’s/writer’s personal view.,Advanced,思うに
思えば,An adverb that indicates feelings of nostalgia or regret when recollecting one’s past experiences.,An adverb that indicates feelings of nostalgia or regret when recollecting one’s past experiences.,Advanced,思えば
〜恐れがある,"A phrase that means “it is feared (that)""","A phrase that means “it is feared (that)""",Advanced,恐れがある
折(に),"A noun indicating special/uncommon and primarily desirable occasions which someone takes advantage of, or where someone is expected to do something or where something desirable takes place.","A noun indicating special/uncommon and primarily desirable occasions which someone takes advantage of, or where someone is expected to do something or where something desirable takes place.",Advanced,折(に)
故に,A conjunction that presents a reason or a cause.,A conjunction that presents a reason or a cause.,Advanced,故に・ゆえに
更に,An adverb/conjunction that represents the idea of “additionally” or “further”.,An adverb/conjunction that represents the idea of “additionally” or “further”.,Advanced,更に
末（に）,"A noun that indicates the end of a period or the time after long, hard mental or physical work.","A noun that indicates the end of a period or the time after long, hard mental or physical work.",Advanced,末（に）
済む,A verb that means “to be finished; to do (in the sense of being enough)”.,A verb that means “to be finished; to do (in the sense of being enough)”.,Advanced,済む
〜滅多に〜ない,A structure that indicates extremely low frequency.,A structure that indicates extremely low frequency.,Advanced,滅多に～ない
由,A dependent noun that marks the content of what the writer has learned.,A dependent noun that marks the content of what the writer has learned.,Advanced,由・よし
甲斐・かい・がい,A dependent noun that means something is worth someone’s effort.,A dependent noun that means something is worth someone’s effort.,Advanced,甲斐・かい・がい
自体,A dependent noun that is used to emphasize the referent of the preceding noun.,A dependent noun that is used to emphasize the referent of the preceding noun.,Advanced,自体
〜見るからに,A phrase indicating that something can be (obviously) recognized through visual cues.,A phrase indicating that something can be (obviously) recognized through visual cues.,Advanced,見るからに
〜言うまでもない,A phrase indicating that what the speaker/writer expresses is generally known but that he/she presents it as a reminder.,A phrase indicating that what the speaker/writer expresses is generally known but that he/she presents it as a reminder.,Advanced,言うまでもない
〜言ってみれば,"A phrase signalling a comparison (including the use of simile and metaphor), a deﬁnition, or an explanation.","A phrase signalling a comparison (including the use of simile and metaphor), a deﬁnition, or an explanation.",Advanced,言ってみれば
言わば,An adverb that means “if I were to say it some way (or a different way)”.,An adverb that means “if I were to say it some way (or a different way)”.,Advanced,言わば
〜限りだ,"A phrase that indicates the extreme degree of the speaker’s/writer’s emotion — happiness, sorrow, envy, shame or loneliness, among others","A phrase that indicates the extreme degree of the speaker’s/writer’s emotion — happiness, sorrow, envy, shame or loneliness, among others",Advanced,限りだ
願う・願います,A verb that expresses a polite request.,A verb that expresses a polite request.,Advanced,願う・願います
名詞修飾節,Reference-backed canonical grammar entry for 名詞修飾節.,Reference-backed canonical grammar entry for 名詞修飾節.,Basic,Relative Clause
あとで,Some state or action takes place at a time (not always immediately) after another state or action has taken place.,Some state or action takes place at a time (not always immediately) after another state or action has taken place.,Basic,あとで
あまり（程度が低い）,The degree of something is not great.,The degree of something is not great.,Basic,あまり
ある（存在）,An inanimate thing exists.,An inanimate thing exists.,Basic,ある (1)
〜てある,Something has been done to something and the resultant state of that action remains.,Something has been done to something and the resultant state of that action remains.,Basic,ある (2)
いる（存在）,An animate thing exists.,An animate thing exists.,Basic,いる (1)
〜ている,"Someone or something is doing something he or it started some time ago, or is in a state created by an action he or it took some time ago.","Someone or something is doing something he or it started some time ago, or is in a state created by an action he or it took some time ago.",Basic,いる (2)
うちに,During a period when a certain situation remains in effect.,During a period when a certain situation remains in effect.,Basic,うちに
お,A prefix that expresses politeness.,A prefix that expresses politeness.,Basic,お
〜お〜する,A phrase which humbly expresses the speaker’s politeness to someone when describing the speaker’s action or state that involves or affects that person.,A phrase which humbly expresses the speaker’s politeness to someone when describing the speaker’s action or state that involves or affects that person.,Basic,お～する
おく,Do something in advance for future convenience.,Do something in advance for future convenience.,Basic,おく
〜か（選択）,A particle which marks an alternative.,A particle which marks an alternative.,Basic,か (1)
〜が（主語）,A particle which indicates the subject.,A particle which indicates the subject.,Basic,が (1)
〜か（疑問）,A sentence final particle which indicates that the preceding sentence is interrogative.,A sentence final particle which indicates that the preceding sentence is interrogative.,Basic,か (2)
〜が（逆接）,A disjunctive coordinate conjunction that combines two sentences.,A disjunctive coordinate conjunction that combines two sentences.,Basic,が (2)
〜か（埋め込み疑問）,A marker for an embedded yes-no question.,A marker for an embedded yes-no question.,Basic,か(どうか)
〜かい,A sentence final particle which marks yes-no questions in informal male speech.,A sentence final particle which marks yes-no questions in informal male speech.,Basic,かい
〜かしら,A sentence final particle which expresses the idea that the female speaker wonders about something.,A sentence final particle which expresses the idea that the female speaker wonders about something.,Basic,かしら
〜から（起点・出所）,A particle which indicates a starting point or a source.,A particle which indicates a starting point or a source.,Basic,から (1)
〜から（時間起点）,After/since a point in time at which something takes place.,After/since a point in time at which something takes place.,Basic,から (2)
〜から（理由）,A subordinate conjunction which expresses a reason or a cause.,A subordinate conjunction which expresses a reason or a cause.,Basic,から (3)
けれども,A disjunctive subordinate conjunction that combines two sentences.,A disjunctive subordinate conjunction that combines two sentences.,Basic,けれども
こと（形式名詞・事柄）,A thing which is intangible.,A thing which is intangible.,Basic,こと (1)
〜こと（名詞化）,A nominaliser used to indicate the speaker’s relative lack of empathy with the content of the sentence he is nominalising.,A nominaliser used to indicate the speaker’s relative lack of empathy with the content of the sentence he is nominalising.,Basic,こと (2)
〜たことがある,There was a time when ~,There was a time when ~,Basic,ことがある (1)
〜ことがある（時々）,There are times when ~.,There are times when ~.,Basic,ことがある (2)
ごとに,Something takes place regularly in succession after a certain temporal or spatial interval.,Something takes place regularly in succession after a certain temporal or spatial interval.,Basic,ごとに
ことは,"Speaking of proposition X, X is certainly true.","Speaking of proposition X, X is certainly true.",Basic,ことは
〜さ（名詞化）,A suffix that makes a noun out of an adjective by attaching it to the stem of an Adj (い) or much less frequently to the stem of an Adj (な),A suffix that makes a noun out of an adjective by attaching it to the stem of an Adj (い) or much less frequently to the stem of an Adj (な),Basic,さ
させる,Cause someone/something to do something or cause something to change its state.,Cause someone/something to do something or cause something to change its state.,Basic,させる
しい,An infix attached to the stem of an adjective い to indicate something that one cannot objectively measure on any scale (e.g. human emotion).,An infix attached to the stem of an adjective い to indicate something that one cannot objectively measure on any scale (e.g. human emotion).,Basic,しい
〜しか,A particle which marks an element X when nothing but X makes the expressed proposition true.,A particle which marks an element X when nothing but X makes the expressed proposition true.,Basic,しか
〜しまう,An auxiliary verb which indicates the completion of an action.,An auxiliary verb which indicates the completion of an action.,Basic,しまう
〜ずつ,A particle that indicates equal distribution of quantity.,A particle that indicates equal distribution of quantity.,Basic,ずつ
〜くする／〜にする（変化）,Someone/something causes a state or action to take place.,Someone/something causes a state or action to take place.,Basic,する (1)
する（属性）,Someone or something has some (semi)permanent attribute.,Someone or something has some (semi)permanent attribute.,Basic,する (2)
〜がする（感覚）,Something is perceived by someone’s non-visual senses.,Something is perceived by someone’s non-visual senses.,Basic,する (3)
する（値段・時間）,A verb that indicates how much something costs or a duration of time.,A verb that indicates how much something costs or a duration of time.,Basic,する (4)
すると,A coordinate conjunction which connects two sentences (the second sentence either describes an event which takes place right after the event described in the first sentence or it expresses a logical guess related to the event in the first sentence.),A coordinate conjunction which connects two sentences (the second sentence either describes an event which takes place right after the event described in the first sentence or it expresses a logical guess related to the event in the first sentence.),Basic,すると
せっかく,"Some situation which seldom occurs has now occurred and one can either make use of it or, to one’s regret, cannot make use of it.","Some situation which seldom occurs has now occurred and one can either make use of it or, to one’s regret, cannot make use of it.",Basic,せっかく
〜そうだ（伝聞）,An auxiliary which indicates that the information expressed by the preceding sentence is what the speaker heard.,An auxiliary which indicates that the information expressed by the preceding sentence is what the speaker heard.,Basic,そうだ (1)
〜そうだ（様態）,"An auxiliary adjective which indicates that what is expressed by the preceding sentence is the speaker’s conjecture concerning an event in the future or the present state of someone or something, based on what the speaker sees or feels.","An auxiliary adjective which indicates that what is expressed by the preceding sentence is the speaker’s conjecture concerning an event in the future or the present state of someone or something, based on what the speaker sees or feels.",Basic,そうだ (2)
そして,A coordinate conjunction that connects two sentences.,A coordinate conjunction that connects two sentences.,Basic,そして
それから,"A conjunction that indicates (1) temporally contiguous actions or states, or (2) a cumulative listing of objects, actions or states.","A conjunction that indicates (1) temporally contiguous actions or states, or (2) a cumulative listing of objects, actions or states.",Basic,それから
それで,A conjunction to indicate that what is stated in the preceding sentence is the reason or cause for what is stated in the following sentence.,A conjunction to indicate that what is stated in the preceding sentence is the reason or cause for what is stated in the following sentence.,Basic,それで
それでは,If that is the case,If that is the case,Basic,それでは
それとも,A coordinate conjunction which connects two alternatives expressed by sentences.,A coordinate conjunction which connects two alternatives expressed by sentences.,Basic,それとも
それなら,"If that is the case,","If that is the case,",Basic,それなら
〜だい,A sentence final particle which indicates an interrogative word question in informal male speech.,A sentence final particle which indicates an interrogative word question in informal male speech.,Basic,だい
だけで(は)なく〜(も),"Not only X but also Y, where X and Y can be either a noun, a verb, or an adjective.","Not only X but also Y, where X and Y can be either a noun, a verb, or an adjective.",Basic,だけで(は)なく～(も)
たって,Even if someone did something or something were in some state (the desired result would not come about) or even if someone or something is in some state.,Even if someone did something or something were in some state (the desired result would not come about) or even if someone or something is in some state.,Basic,たって
〜たり〜たりする,A phrase which expresses an inexhaustive listing of action or states.,A phrase which expresses an inexhaustive listing of action or states.,Basic,たり～たりする
〜って（話題）,A colloquial topic-introducer.,A colloquial topic-introducer.,Basic,って (1)
〜って（引用）,A colloquial quotation marker.,A colloquial quotation marker.,Basic,って (2)
〜て（接続形）,The て form ending of verbs and い-type adjectives (The て form ending of な-type adjectives and the て form of the copula is で.),The て form ending of verbs and い-type adjectives (The て form ending of な-type adjectives and the て form of the copula is で.),Basic,て
〜で（場所）,"A particle which indicates location, except for location of existence.","A particle which indicates location, except for location of existence.",Basic,で (1)
〜で（手段）,A particle which indicates the use of something for doing something.,A particle which indicates the use of something for doing something.,Basic,で (2)
〜で（原因）,A particle (apparently derived from the て form of です) that indicates a weak causal relationship.,A particle (apparently derived from the て form of です) that indicates a weak causal relationship.,Basic,で (3)
〜で（範囲・所要）,A particle which indicates the time when something terminates or the amount of time a period of activity has taken.,A particle which indicates the time when something terminates or the amount of time a period of activity has taken.,Basic,で (4)
でも,The て form of です plus も ‘even’.,The て form of です plus も ‘even’.,Basic,でも
〜と（並列）,A particle which lists things exhaustively.,A particle which lists things exhaustively.,Basic,と (1)
〜と（相手）,A particle marking the noun phrase which maintains a reciprocal relationship with the subject of a clause.,A particle marking the noun phrase which maintains a reciprocal relationship with the subject of a clause.,Basic,と (2)
〜と（引用・様態）,"A particle which marks a quotation, sound or the manner in which someone/something does something.","A particle which marks a quotation, sound or the manner in which someone/something does something.",Basic,と (3)
〜と（条件）,A subordinate conjunction which marks a condition that brings about an uncontrollable event or state.,A subordinate conjunction which marks a condition that brings about an uncontrollable event or state.,Basic,と (4)
〜という,A phrase marking information which identifies or explains the noun following the phrase.,A phrase marking information which identifies or explains the noun following the phrase.,Basic,という
どう,An interrogative adverb which asks about the state of someone/something or the way of doing something.,An interrogative adverb which asks about the state of someone/something or the way of doing something.,Basic,どう
とか,"A conjunction that lists two or more items, actions or states as inexhaustive examples.","A conjunction that lists two or more items, actions or states as inexhaustive examples.",Basic,とか
ところだ（距離・所要）,A place is in a location which takes a certain amount of time to get to.,A place is in a location which takes a certain amount of time to get to.,Basic,ところだ (1)
〜ところだ（時相）,"Someone/something is in the state where he/it is just about to do something, is doing something, has done something, or has been doing something.","Someone/something is in the state where he/it is just about to do something, is doing something, has done something, or has been doing something.",Basic,ところだ (2)
〜として,"A compound particle which indicates the capacity, role or function of someone or something.","A compound particle which indicates the capacity, role or function of someone or something.",Basic,として
〜としては,A compound particle which indicates a standard for comparisons.,A compound particle which indicates a standard for comparisons.,Basic,としては
と言えば,An expression which presents as the topic of a following discourse a phrase which has just been uttered.,An expression which presents as the topic of a following discourse a phrase which has just been uttered.,Basic,と言えば
な,A negative imperative marker used by a male speaker in very informal speech,A negative imperative marker used by a male speaker in very informal speech,Basic,な
なければならない,It won’t do if someone does not take some action or if someone or something is not in some state.,It won’t do if someone does not take some action or if someone or something is not in some state.,Basic,なければならない
など,A marker that indicates exemplification.,A marker that indicates exemplification.,Basic,など
〜に（時点）,A particle that indicates a point of time at which something takes place.,A particle that indicates a point of time at which something takes place.,Basic,に (1)
〜に（間接目的語）,An indirect object marker.,An indirect object marker.,Basic,に (2)
〜に（動作主・起点）,"A particle that indicates an agent or a source in passive, causative, もらう/てまらう and other receiving constructions.","A particle that indicates an agent or a source in passive, causative, もらう/てまらう and other receiving constructions.",Basic,に (3)
〜に（接触面）,A particle that indicates the surface of something upon which some action directly takes place.,A particle that indicates the surface of something upon which some action directly takes place.,Basic,に (4)
〜に（移動目的）,A particle which indicates purpose when someone moves from one place to another.,A particle which indicates purpose when someone moves from one place to another.,Basic,に (5)
〜に（存在場所）,A particle which indicates the location where someone or something exists.,A particle which indicates the location where someone or something exists.,Basic,に (6)
〜に（移動先）,A particle which indicates a place toward which someone or something moves.,A particle which indicates a place toward which someone or something moves.,Basic,に (7)
〜にしては,A phrase that indicates a generally agreed upon standard (the entire sentence that includes this phrase expresses some deviation from that standard.),A phrase that indicates a generally agreed upon standard (the entire sentence that includes this phrase expresses some deviation from that standard.),Basic,にしては
に違いない,The speaker is convinced that there is no mistake on his part in guessing something.,The speaker is convinced that there is no mistake on his part in guessing something.,Basic,に違いない・にちがいない
〜ね,A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge.,A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge.,Basic,ね
〜の（連体修飾）,"A particle which, with a preceding noun phrase, forms a phrase to modify a following noun phrase.","A particle which, with a preceding noun phrase, forms a phrase to modify a following noun phrase.",Basic,の (1)
〜の（代名詞）,A dependent indefinite pronoun.,A dependent indefinite pronoun.,Basic,の (2)
〜の（名詞化）,A nominaliser which is used when the nominalised sentence expresses a directly perceptible event.,A nominaliser which is used when the nominalised sentence expresses a directly perceptible event.,Basic,の (3)
〜の（終助詞）,A sentence-final particle used by a female or a child to indicate an explanation or emotive emphasis.,A sentence-final particle used by a female or a child to indicate an explanation or emotive emphasis.,Basic,の (4)
のだ,"A sentence ending which indicates that the speaker is explaining or asking for an explanation about some information shared with the hearer, or is talking about something emotively, as if it were of common interest to the speaker and the hearer.","A sentence ending which indicates that the speaker is explaining or asking for an explanation about some information shared with the hearer, or is talking about something emotively, as if it were of common interest to the speaker and the hearer.",Basic,のだ
〜のは〜だ,"A structure that indicates new, important information by placing it between [x] and the copula [x] ([x] is an indefinite pronoun ([x]2) that replaces ‘time’,’person’, ‘thing’, ‘place’ or ‘reason’.)","A structure that indicates new, important information by placing it between [x] and the copula [x] ([x] is an indefinite pronoun ([x]2) that replaces ‘time’,’person’, ‘thing’, ‘place’ or ‘reason’.)",Basic,のは～だ
〜は（主題）,A particle which marks a topic or a contrastive element.,A particle which marks a topic or a contrastive element.,Basic,は (1)
は〜が,A construction which relates a non-controllable state of something or someone to a topic,A construction which relates a non-controllable state of something or someone to a topic,Basic,は～が
は〜だ,"Someone or something is/was someone or something or is/was in some state, or will do/does/did something.","Someone or something is/was someone or something or is/was in some state, or will do/does/did something.",Basic,は～だ
〜はいけない,A phrase which indicates prohibition.,A phrase which indicates prohibition.,Basic,はいけない
〜ばかり,"A particle which indicates that something is the only thing or state which exists, or the action someone will take, takes, is taking or took.","A particle which indicates that something is the only thing or state which exists, or the action someone will take, takes, is taking or took.",Basic,ばかり
〜へ,A particle that indicates the direction toward which some directional movement or action proceeds.,A particle that indicates the direction toward which some directional movement or action proceeds.,Basic,へ
ほうが〜より,"Comparing two entities, one is in some state or does something more than the other.","Comparing two entities, one is in some state or does something more than the other.",Basic,ほうが~より
ほうがいい,It is strongly suggested that someone do something.,It is strongly suggested that someone do something.,Basic,ほうがいい
